language,STA,SIM,CHRF,J
ru,0.41970372763876873,0.9504462028994705,1.0,0.3837975605053315
uk,0.3079352067492437,0.9651431994004683,1.0,0.2851582426313626
de,0.3519619396370567,0.9871532022953033,1.0,0.34941849875863434
am,0.5365695050102659,0.9771948258082072,1.0,0.5244379159656681
zh,0.16402117154255175,0.9591956352120015,1.0,0.1515989907559495
es,0.5506334628493493,0.9626682643163003,1.0,0.5282853819672388
hi,0.23795107698742188,0.9451129827926408,1.0,0.21366290004279767
ar,0.3627528433458114,0.9887653346789085,1.0,0.3588751182128077
en,0.5116498835755258,0.9489401893182234,1.0,0.48399487897346516
